16,OFF,145.575,145.575,0.6,OFF,OFF,FM,OFF,ANALOG,RL6MM??????????,OFF,88.5 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,12.5KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
17,OFF,438.725,431.125,7.6,-RPT,OFF,FM,OFF,ANALOG,RR6MM+??????????,TONE,136.5 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,25.0KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
18,OFF,438.7,431.1,7.6,-RPT,OFF,FM,OFF,ANALOG,R6DFZ??????????,TONE,136.5 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,25.0KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
20,OFF,145.78750,145.18750,0.6,-RPT,OFF,FM,OFF,ANALOG,RR6AO??????????,TONE,88.5 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,12.5KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
21,OFF,155.725,155.725,0.6,OFF,OFF,FM,OFF,ANALOG,RADAR??????????,OFF,100.0 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,12.5KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
22,OFF,156,156,0.6,OFF,OFF,FM,OFF,ANALOG,SEAMJK??????????,OFF,100.0 Hz,23,RX Normal TX Normal,300 Hz,HIGH,SKIP,OFF,12.5KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
23,OFF,156.525,156.525,0.6,OFF,OFF,FM,OFF,ANALOG,SEA70C??????????,OFF,100.0 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,12.5KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
24,OFF,145.8,145.2,0.6,-RPT,OFF,FM,OFF,ANALOG,RR6AC??????????,OFF,88.5 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,12.5KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
25,OFF,156.8,156.8,0.6,OFF,OFF,FM,OFF,ANALOG,SEASOS??????????,OFF,88.5 Hz,23,RX Normal TX Normal,300 Hz,HIGH,OFF,OFF,12.5KHz,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,,0,
